"","utilisateur","intermediarite","communaute","degre.entrant","degre.sortant","degre","degre.entrant.pondere","degre.sortant.pondere","degre.pondere","excentricite","proximite","proximite.harmonique","PageRank","vecteur.propre","agglomeration","texte","lol","categorie","langue.avant","langue.apres","langue.moi","langue.auto","plus.d.une.occurrence","source","tweets","abonnements","abonnes","pays","province","ville","fuseau.horaire","codeur"
"1","Jocelyn_Mendez","0.000000e+00"," 572"," 0","  5","  5","  0","   6","   6"," 1","1.0000000","1.0000000","2.516914e-04","0.0000000000","0.000000e+00","@EmilyIsPro ik lol","lol","adjoint","anglais","indefini","anglais","neerlandais","non","Android, Twitter","   202","  101","   90","Nouvelle-Zelande","indefini","indefini","13","Shari"
"2","Hannah_Johnson","0.000000e+00"," 756"," 0","  8","  8","  0","  13","  13"," 1","1.0000000","1.0000000","8.209402e-04","0.0000000000","0.000000e+00","@NikkiErica21 there was a sighting in sunset ridge too. Keep Winnie and bob safe lol","lol","adjoint","anglais","indefini","anglais","anglais","non","iPhone, Twitter","   122","   80","   22","Canada","Nouvelle-Ecosse","Halifax","indefini","Shari"
"3","Hannah_Johnson","0.000000e+00"," 756"," 0","  8","  8","  0","  13","  13"," 1","1.0000000","1.0000000","8.209402e-04","0.0000000000","0.000000e+00","@NikkiErica21 lol yes _Ù÷â","lol","adjoint","indefini","anglais","anglais","anglais","non","iPhone, Twitter","   139","   84","   23","Canada","Nouvelle-Ecosse","Halifax","indefini","Shari"
"4","Hannah_Johnson","0.000000e+00"," 756"," 0","  8","  8","  0","  13","  13"," 1","1.0000000","1.0000000","8.209402e-04","0.0000000000","0.000000e+00","@NikkiErica21 lol _Ù÷â i have never done that in my life. guess I don't love chris _Ù÷â_Ù÷â_Ù÷â","lol","adjoint","indefini","anglais","anglais","anglais","non","iPhone, Twitter","   135","   83","   23","Canada","Nouvelle-Ecosse","Halifax","indefini","Shari"
"5","Nehemiah_Rizo","9.525996e-05","1032"," 1"," 38"," 39","  2","  48","  50"," 1","1.0000000","1.0000000","3.987553e-05","0.0011268805","2.631579e-02","@Insanecorn @RS_Benedict Poor at best? Right o then - Conversing with an egg troll lol","lol","adjoint","anglais","indefini","anglais","anglais","non","Web, Twitter","  7447","  537","  449","Nouvelle-Zelande","indefini","indefini","13","Shari"
"6","Nehemiah_Rizo","9.525996e-05","1032"," 1"," 38"," 39","  2","  48","  50"," 1","1.0000000","1.0000000","3.987553e-05","0.0011268805","2.631579e-02","@Insanecorn @RS_Benedict Seems your arguments consist of the same words... 'lol' 'logical' 'assassination' &amp  a string of bullshit.","lol","nom","anglais","anglais","anglais","anglais","non","indefini","  7451","  537","  449","Nouvelle-Zelande","indefini","indefini","13","Shari"
"7","Carrie_Gayman","5.769112e-04"," 756"," 4"," 13"," 17","  7","  16","  23","10","0.2816692","0.3901235","2.713116e-03","0.4745297953","6.410256e-03","@jadahung20 GIRL I am tooooooo salty tonight lolll","lolll","adjoint","anglais","indefini","anglais","anglais","non","iPhone, Twitter","  4057","  214","  241","Canada","Nouvelle-Ecosse","Middleton","indefini","Shari"
"8","Shakoora_al-Rizk","0.000000e+00","1917"," 0","  8","  8","  0","   9","   9","16","0.1434760","0.1620566","1.729474e-04","0.0000000000","0.000000e+00","@abbytutty_ i miss emily lololol _Ù÷â_Ù÷É","lololol","adjoint","anglais","indefini","anglais","anglais","non","iPhone, Twitter","  8366","  392","  661","Canada","Nouvelle-Ecosse","indefini","indefini","Shari"
"9","Tecumseh_Plenty Wolf","0.000000e+00","1917"," 1","  6","  7","  1","   7","   8"," 1","1.0000000","1.0000000","1.968508e-04","0.0039365693","2.000000e-01","@tdesj3 @belle lol yea doubt it.","lol","adjoint","indefini","anglais","anglais","anglais","non","iPhone, Twitter","  1184","   87","   70","Canada","Nouvelle-Ecosse","Halifax","indefini","Shari"
"10","Cameron_Navarro","1.786309e-08"," 302"," 2"," 10"," 12"," 95"," 159"," 254"," 2","0.8571429","0.9166667","1.604450e-04","0.0029156482","2.222222e-02","@Justin_Noffsinger lmao my brothers were so annoying when i was writing in the car one was fall asleep on my shoulder and the other kept pushing the","lmao","adjoint","indefini","anglais","anglais","anglais","non","Web, Twitter"," 21320","  989","  509","Nouvelle-Zelande","indefini","indefini","13","Shari"
